ano,codigo_depto,departamento,poblacion_5_16,tasa_matriculacion_5_16,cobertura_neta,cobertura_neta_transicion,cobertura_neta_primaria,cobertura_neta_secundaria,cobertura_neta_media,cobertura_bruta,cobertura_bruta_transicion,cobertura_bruta_primaria,cobertura_bruta_secundaria,cobertura_bruta_media,tamano_promedio_grupo,sedes_conectadas_a_internet,desercion,desercion_transicion,desercion_primaria,desercion_secundaria,desercion_media,aprobacion,aprobacion_transicion,aprobacion_primaria,aprobacion_secundaria,aprobacion_media,reprobacion,reprobacion_transicion,reprobacion_primaria,reprobacion_secundaria,reprobacion_media,repitencia,repitencia_transicion,repitencia_primaria,repitencia_secundaria,repitencia_media
2011,5,Antioquia,1288473,94.01,0.9384999999999999,70.28,94.12,75.68,44.37,1.0681,85.69,117.5,110.81,84.06,27.47,74.48,0.0397,3.62,3.65,4.57,3.71,0.9398000000000001,0.07,94.56,4.57,93.33,0.0206,0.07,94.56,2.54,2.96,0.0425,0.07,4.56,5.27,1.68
2011,8,Atlántico,523935,99.32,0.9904999999999999,50.59,98.93,80.22,50.17,1.0788,84.19,120.41,107.89,87.98,24.42,80.46,0.0276,2.6,3.06,2.42,2.61,0.9670000000000001,0.12,96.49,2.42,96.64,0.54,0.12,96.49,0.67,0.75,1.82,0.12,1.77,2.18,0.88
2011,11,"Bogotá, D.C.",1479334,90.7,0.9029,68.63,86.99,84.7,55.01,0.9778,82.04,97.94,106.48,87.76,26.75,94.21,0.0395,10.05,5.3,1.96,2.55,0.9605,0,94.69,1.96,97.45,0.0,0,94.69,0,0,0.0323,0,2.3,5.11,2.57
2011,13,Bolívar,496676,91.57,0.914,59.74,90.81,67.34,39.17,1.1040999999999999,98.82,126.45,108.15,80.64,20.8,30.12,0.031400000000000004,1.85,2.93,3.79,3.13,0.9476,0.46,95.48,3.79,93.2,0.021,0.46,95.48,2.75,3.67,0.0443,0.46,4.44,5.37,2.28
2011,15,Boyacá,300501,86.16,0.8611,63.36,82.5,74.65,49.09,1.0415,78.87,99.88,119.78,94.76,22.77,25.26,0.030699999999999998,2.4,2.24,4.03,3.51,0.9420000000000001,0.17,96.1,4.03,93.23,0.0273,0.17,96.1,4.31,3.26,0.0262,0.17,1.9,4.19,1.55
2011,17,Caldas,201185,87.04,0.8698,64.99,83.86,73.41,45.38,0.9813,77.19,103.62,103.93,83.7,22.6,34.74,0.041299999999999996,4.35,3.92,4.87,2.82,0.9062,0.3,91.59,4.87,92.04,0.0525,0.3,91.59,7.25,5.15,0.0467,0.3,4.15,6.55,3.07
2011,18,Caquetá,124148,88.78,0.8876000000000001,58.98,90.31,57.31,25.44,1.0603,85.2,130.59,101.6,60.35,23.21,8.01,0.0364,3.39,3.56,3.91,3.39,0.9606,0.05,96.34,3.91,93.45,0.3,0.05,96.34,0.08,3.15,0.0417,0.05,3.7,5.8,2.87
2011,19,Cauca,328682,86.35,0.8621,52.01,87.94,61.58,30.44,0.9803000000000001,81.82,117.83,94.24,65.87,18.29,29.7,0.0275,1.87,1.96,3.91,3.6,0.9253,1.17,92.77,3.91,91.77,0.0472,1.17,92.77,4.64,4.63,0.0209,1.17,1.75,3.13,1.57
2011,20,Cesar,263789,94.75,0.9457,65.96,95.22,66.47,34.98,1.1047,105.65,129.53,105.96,73.07,20.58,29.02,0.0707,5.17,7.36,7.62,5.42,0.9054000000000001,0.46,91.02,7.62,90.8,0.0239,0.46,91.02,3.74,3.78,1.67,0.46,1.57,2.19,0.97
2011,23,Córdoba,405431,94.53,0.9445999999999999,67.18,93.22,68.79,37.16,1.1108,103.69,125.71,110.67,78.66,20.16,35.26,0.045899999999999996,5.45,4.08,5.3,4.1,0.9429000000000001,0.22,95.13,5.3,93.19,1.12,0.22,95.13,1.37,2.71,0.0407,0.22,4.18,4.53,2.43
2011,25,Cundinamarca,570954,92.13,0.9193000000000001,67.19,88.12,81.38,47.57,1.0334,89.21,106.03,112.14,86.21,17.76,35.04,0.036000000000000004,3.48,2.99,4.31,3.72,0.9558,0.04,96.62,4.31,94.5,0.89,0.04,96.62,1.26,1.93,0.027000000000000003,0.04,1.99,4.18,1.78
2011,27,Chocó,145587,83.79,0.8379000000000001,50.17,86.4,41.3,19.64,1.1017000000000001,77,150.46,89.06,63.13,17.86,13.88,0.0429,2.89,4.24,5.05,3.59,0.935,0.07,94.19,5.05,93.5,0.022099999999999998,0.07,94.19,4.25,2.91,0.42,0.07,0.6,0.26,0.07
2011,41,Huila,275956,90.52,0.9047,69.9,92.31,73.5,38.49,1.0112999999999999,87.47,113.41,104.54,71.11,22.28,30.28,0.0438,4,3.2,6,4.99,0.9239,0.11,94.35,6,89.67,0.032400000000000005,0.11,94.35,4.46,5.34,0.0436,0.11,4.41,5.59,2.41
2011,44,La Guajira,231046,77.12,0.77,44.61,74.68,41.56,21.91,0.894,84.56,119.07,68.03,49.83,20.22,34.94,0.0617,4.2,6.31,7.04,4.65,0.9278,0.46,92.58,7.04,93.07,1.07,0.46,92.58,0.78,2.28,0.0385,0.46,4.49,3.44,1.46
2011,47,Magdalena,333793,94.47,0.9431999999999999,55.4,90.9,66.53,37.55,1.1051,109.71,129.12,103.1,75.84,21.3,27.63,0.0363,2.24,3.45,4.1,4.37,0.9498000000000001,0.42,95.12,4.1,93.55,1.39,0.42,95.12,1.41,2.08,1.52,0.42,1.44,1.99,0.65
2011,50,Meta,209319,93.65,0.9359000000000001,61.46,92.35,75.89,40.79,1.0282,82.9,115.06,106.18,75.26,22.79,24.42,0.0555,5.12,5.58,6.15,3.8,0.9308,0.07,93.39,6.15,93.9,1.37,0.07,93.39,1.85,2.3,1.48,0.07,1.27,2.26,0.9
2011,52,Nariño,401313,80.53,0.805,48.3,80.14,53.68,29.04,0.9396,75.92,115.43,87.15,62.27,20.76,15.68,0.1017,13.91,9.67,10.58,9.01,0.8996999999999999,0.08,91.2,10.58,89.45,1.4,0.08,91.2,2.18,2.55,0.0253,0.08,2.34,3.52,1.32
2011,54,Norte de Santander,324219,89.04,0.8896,68.9,91.01,66.38,39.03,1.0248,87.41,117.44,98.1,82.3,22.36,17.78,0.0687,4.98,5.15,9.35,8.44,0.9255,0.06,94.41,9.35,90.14,0.65,0.06,94.41,0.76,1.64,0.0219,0.06,1.7,3.46,1.56
2011,63,Quindio,114075,90.87,0.9083,64.45,85.53,80.32,47.29,1.0395,82.26,106.21,114.89,87.83,27.06,62,0.0504,5.13,4.52,5.98,4.1,0.9243000000000001,0.03,94.24,5.98,91.66,0.0253,0.03,94.24,3.97,4.23,1.36,0.03,1.1,2.03,0.86
2011,66,Risaralda,192633,95.61,0.9543,67.38,93.32,76.38,42.83,1.1240999999999999,89.13,118.88,119.1,95.27,22.87,45.21,0.0479,3.73,3.77,6.14,5.39,0.9407,0.15,95.57,6.14,91.25,1.14,0.15,95.57,1.24,3.35,1.77,0.15,1.43,2.61,1.13
2011,68,Santander,434034,92.49,0.924,69.7,92.88,77.28,48.1,1.0343,94.3,111.4,106.32,83.87,22.39,25.22,0.0368,3.38,2.87,4.75,3.8,0.9425,0.34,96.11,4.75,93.22,0.0207,0.34,96.11,3.48,2.98,0.0292,0.34,2.3,4.48,1.59
2011,70,Sucre,205779,103.27,1.032,68.67,101.38,76.16,40.46,1.2304000000000002,131.94,139.49,118.49,88.27,24.81,58.31,0.0674,9.51,5.5,7.25,8.18,0.8631,0.92,87.86,7.25,84.92,0.071,0.92,87.86,9.29,7.08,0.46,0.92,0.55,0.44,0.23
2011,73,Tolima,325983,88.8,0.8870999999999999,58.6,86.48,71.66,41.33,1.0345,82.98,113.27,107.25,81.59,22.09,20.22,0.0461,3.66,4.34,5.41,3.95,0.9033,0.23,91.99,5.41,90.37,0.0506,0.23,91.99,7.77,5.68,0.88,0.23,0.82,1.22,0.47
2011,76,Valle del Cauca,906602,88.51,0.8833,56.25,86.83,72.17,42.06,1.015,92.48,111.37,103.88,78.7,20.05,41.51,0.0424,4.18,3.73,5.01,3.99,0.9068999999999999,0.58,92.95,5.01,89.64,0.0507,0.58,92.95,7.9,6.37,0.023,0.58,2.09,3.22,1.09
2011,81,Arauca,73431,74.15,0.7411,49.81,71.09,55.36,31.49,0.8509,75.73,93.42,85.88,64.26,17.62,30.33,0.021400000000000002,1.98,1.86,2.46,2.83,0.9772,0,98.14,2.46,95.71,0.13,0,98.14,0,1.46,0.0278,0,2.29,4.37,2.05
2011,85,Casanare,85803,101.11,1.0105,71.27,99.47,82.56,42.64,1.1506999999999998,94.58,123.09,126.23,82.99,25.31,40,0.0388,3.2,3.4,4.6,4.18,0.9212,0.36,93.96,4.6,91.14,0.04,0.36,93.96,6.44,4.68,0.035699999999999996,0.36,3.2,5.39,1.23
2011,86,Putumayo,93828,80.46,0.8046,49.15,82.17,56.36,27.24,0.9362,82.42,110.23,90.71,62.85,21.18,15.53,0.0418,3.24,3.61,5.63,3.31,0.9561,0,96.35,5.63,94.5,0.21,0,96.35,0,2.19,0.0337,0,2.97,4.91,1.9
2011,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",15852,67.28,0.6723,57,68.26,59.08,39.15,0.738,62.34,75.08,78.79,66.33,24.01,65.63,1.72,0.84,3.03,0.59,0.82,0.9673,0,96.26,0.59,95.57,1.55,0,96.26,2.19,3.61,0.0363,0,3.44,5.62,1.32
